epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,61260.3,2.66262,1.24688,0.86429,0.39888,0.13759,0.10995,0.04652,2.67077,1.19181,0.83649,0.0005942,0.0005942,0.0005942
73,62554.9,2.62474,1.21446,0.86446,0.39964,0.13902,0.11116,0.04789,2.66307,1.19378,0.83789,0.0005744,0.0005744,0.0005744
74,63797.3,2.63671,1.21096,0.86279,0.39631,0.13824,0.11104,0.04726,2.65531,1.19869,0.83651,0.0005546,0.0005546,0.0005546
75,65204.6,2.62282,1.2133,0.86486,0.39894,0.13838,0.11105,0.04756,2.66392,1.20334,0.83828,0.0005348,0.0005348,0.0005348
76,67550.4,2.64176,1.21778,0.86558,0.3989,0.13858,0.111,0.04718,2.66762,1.19192,0.83588,0.000515,0.000515,0.000515
77,68824.6,2.63402,1.20815,0.86263,0.40186,0.13882,0.11132,0.04776,2.65569,1.1961,0.83617,0.0004952,0.0004952,0.0004952
78,70098.5,2.64251,1.20886,0.86207,0.40141,0.13922,0.11184,0.04733,2.66398,1.19492,0.83607,0.0004754,0.0004754,0.0004754
79,71376.3,2.62365,1.21752,0.86558,0.40064,0.13977,0.11197,0.0481,2.66013,1.18046,0.83512,0.0004556,0.0004556,0.0004556
80,72624.9,2.65483,1.22474,0.85905,0.40121,0.13913,0.11182,0.0479,2.65637,1.1968,0.8354,0.0004358,0.0004358,0.0004358
81,73828.5,2.61537,1.19879,0.85952,0.40239,0.13951,0.11224,0.04823,2.65155,1.18945,0.83535,0.000416,0.000416,0.000416
82,74805.8,2.64141,1.21705,0.85737,0.40124,0.13934,0.11185,0.04769,2.66636,1.18421,0.83439,0.0003962,0.0003962,0.0003962
83,1016.03,2.62679,1.21114,0.86525,0.39803,0.14012,0.11194,0.04848,2.64812,1.18261,0.83481,0.0003764,0.0003764,0.0003764
84,2255.67,2.63011,1.2013,0.85925,0.39977,0.14017,0.1122,0.04851,2.64443,1.19559,0.8354,0.0003566,0.0003566,0.0003566
85,3394.38,2.62535,1.19663,0.85859,0.40311,0.14036,0.11253,0.0485,2.64702,1.18713,0.83736,0.0003368,0.0003368,0.0003368
86,4829.36,2.62246,1.19736,0.85914,0.40121,0.14093,0.11251,0.0481,2.65395,1.18587,0.83497,0.000317,0.000317,0.000317
87,6190.93,2.62708,1.20924,0.85801,0.40518,0.1409,0.11275,0.04835,2.65288,1.17348,0.8358,0.0002972,0.0002972,0.0002972
88,7460.48,2.62137,1.20242,0.85668,0.40315,0.14098,0.11271,0.04888,2.64193,1.18079,0.83464,0.0002774,0.0002774,0.0002774
89,8692.07,2.59651,1.20393,0.85867,0.39973,0.14116,0.11251,0.04824,2.64382,1.18388,0.83378,0.0002576,0.0002576,0.0002576
90,9806.25,2.58909,1.1924,0.85683,0.40186,0.14115,0.11286,0.04851,2.64384,1.17626,0.83485,0.0002378,0.0002378,0.0002378
91,10754.8,2.62038,1.33563,0.85088,0.40135,0.13888,0.11169,0.04772,2.66284,1.2117,0.83603,0.000218,0.000218,0.000218
92,11716.5,2.62881,1.32106,0.85338,0.40026,0.13914,0.11146,0.04765,2.65701,1.18658,0.83831,0.0001982,0.0001982,0.0001982
93,12676.5,2.61618,1.24976,0.85016,0.39882,0.1399,0.11172,0.04758,2.65624,1.1925,0.83619,0.0001784,0.0001784,0.0001784
94,871.369,2.62432,1.22947,0.84761,0.40035,0.13984,0.11186,0.04787,2.64929,1.19182,0.83649,0.0001586,0.0001586,0.0001586
95,1765.49,2.6043,1.25418,0.85087,0.39897,0.13943,0.11149,0.04779,2.64889,1.19964,0.83527,0.0001388,0.0001388,0.0001388
96,2722.45,2.62267,1.24999,0.85206,0.39459,0.13924,0.11119,0.04758,2.65552,1.19855,0.83496,0.000119,0.000119,0.000119
97,3765,2.60832,1.22789,0.85163,0.39737,0.13894,0.11111,0.04758,2.65667,1.20294,0.83587,9.92e-05,9.92e-05,9.92e-05
98,4887.08,2.60799,1.24466,0.8448,0.39604,0.13973,0.11139,0.04755,2.65743,1.19856,0.83576,7.94e-05,7.94e-05,7.94e-05
99,6578.48,2.6017,1.29693,0.851,0.39667,0.13927,0.11136,0.04757,2.65373,1.2014,0.83542,5.96e-05,5.96e-05,5.96e-05
100,18610.3,2.61108,1.25404,0.85469,0.39815,0.13933,0.11141,0.04781,2.65024,1.19251,0.83565,3.98e-05,3.98e-05,3.98e-05
